remapped_id,label_name,R,G,B,freesurfer_id
0,background,0,0,0,0
1,Left-Cerebral-White-Matter,245,245,245,2
2,Left-Lateral-Ventricle,120,18,134,4
3,Left-Inf-Lat-Ventricle,196,58,250,5
4,Left-Cerebellum-White-Matter,220,248,164,7
5,Left-Cerebellum-Cortex,230,148,34,8
6,Left-Thalamus,0,118,14,10
7,Left-Caudate,122,186,220,11
8,Left-Putamen,236,13,176,12
9,Left-Pallidum,12,48,255,13
10,3rd-Ventricle,204,182,142,14
11,4th-Ventricle,42,204,164,15
12,Brain-Stem,119,159,176,16
13,Left-Hippocampus,220,216,20,17
14,Left-Amygdala,103,255,255,18
15,CSF,60,60,60,24
16,Left-Accumbens-area,255,165,0,26
17,Left-VentralDC,145,42,42,28
18,Left-vessel,160,32,240,30
19,Left-choroid-plexus,0,200,200,31
20,Right-Cerebral-White-Matter,245,245,245,41
21,Right-Lateral-Ventricle,120,18,134,43
22,Right-Inf-Lat-Ventricle,196,58,250,44
23,Right-Cerebellum-White-Matter,220,248,164,46
24,Right-Cerebellum-Cortex,230,148,34,47
25,Right-Thalamus,0,118,14,49
26,Right-Caudate,122,186,220,50
27,Right-Putamen,236,13,176,51
28,Right-Pallidum,13,48,255,52
29,Right-Hippocampus,220,216,20,53
30,Right-Amygdala,103,255,255,54
31,Right-Accumbens-area,255,165,0,58
32,Right-VentralDC,165,42,42,60
33,Right-vessel,160,32,240,62
34,Right-choroid-plexus,0,200,221,63
35,WM-hypointensities,200,70,255,77
36,Optic-Chiasm,234,169,30,85
37,CC_Posterior,0,0,64,251
38,CC_Mid_Posterior,0,0,112,252
39,CC_Central,0,0,160,253
40,CC_Mid_Anterior,0,0,208,254
41,CC_Anterior,0,0,255,255
42,ctx-lh-bankssts,25,100,40,1001
43,ctx-lh-caudalanteriorcingulate,125,100,160,1002
44,ctx-lh-caudalmiddlefrontal,100,25,0,1003
45,ctx-lh-cuneus,220,20,100,1005
46,ctx-lh-entorhinal,220,20,10,1006
47,ctx-lh-fusiform,180,220,140,1007
48,ctx-lh-inferiorparietal,220,60,220,1008
49,ctx-lh-inferiortemporal,180,40,120,1009
50,ctx-lh-isthmuscingulate,140,20,140,1010
51,ctx-lh-lateraloccipital,20,30,140,1011
52,ctx-lh-lateralorbitofrontal,35,75,50,1012
53,ctx-lh-lingual,225,140,140,1013
54,ctx-lh-medialorbitofrontal,200,35,75,1014
55,ctx-lh-middletemporal,160,100,50,1015
56,ctx-lh-parahippocampal,20,220,60,1016
57,ctx-lh-paracentral,60,220,60,1017
58,ctx-lh-parsopercularis,220,180,140,1018
59,ctx-lh-parsorbitalis,20,100,50,1019
60,ctx-lh-parstriangularis,220,60,20,1020
61,ctx-lh-pericalcarine,120,100,60,1021
62,ctx-lh-postcentral,220,20,20,1022
63,ctx-lh-posteriorcingulate,220,180,220,1023
64,ctx-lh-precentral,60,20,220,1024
65,ctx-lh-precuneus,160,140,180,1025
66,ctx-lh-rostralanteriorcingulate,80,20,140,1026
67,ctx-lh-rostralmiddlefrontal,75,50,125,1027
68,ctx-lh-superiorfrontal,20,220,160,1028
69,ctx-lh-superiorparietal,20,180,140,1029
70,ctx-lh-superiortemporal,140,220,220,1030
71,ctx-lh-supramarginal,80,160,20,1031
72,ctx-lh-frontalpole,100,0,100,1032
73,ctx-lh-temporalpole,70,70,70,1033
74,ctx-lh-transversetemporal,150,150,200,1034
75,ctx-lh-insula,255,192,32,1035
76,ctx-rh-bankssts,25,100,40,2001
77,ctx-rh-caudalanteriorcingulate,125,100,160,2002
78,ctx-rh-caudalmiddlefrontal,100,25,0,2003
79,ctx-rh-cuneus,220,20,100,2005
80,ctx-rh-entorhinal,220,20,10,2006
81,ctx-rh-fusiform,180,220,140,2007
82,ctx-rh-inferiorparietal,220,60,220,2008
83,ctx-rh-inferiortemporal,180,40,120,2009
84,ctx-rh-isthmuscingulate,140,20,140,2010
85,ctx-rh-lateraloccipital,20,30,140,2011
86,ctx-rh-lateralorbitofrontal,35,75,50,2012
87,ctx-rh-lingual,225,140,140,2013
88,ctx-rh-medialorbitofrontal,200,35,75,2014
89,ctx-rh-middletemporal,160,100,50,2015
90,ctx-rh-parahippocampal,20,220,60,2016
91,ctx-rh-paracentral,60,220,60,2017
92,ctx-rh-parsopercularis,220,180,140,2018
93,ctx-rh-parsorbitalis,20,100,50,2019
94,ctx-rh-parstriangularis,220,60,20,2020
95,ctx-rh-pericalcarine,120,100,60,2021
96,ctx-rh-postcentral,220,20,20,2022
97,ctx-rh-posteriorcingulate,220,180,220,2023
98,ctx-rh-precentral,60,20,220,2024
99,ctx-rh-precuneus,160,140,180,2025
100,ctx-rh-rostralanteriorcingulate,80,20,140,2026
101,ctx-rh-rostralmiddlefrontal,75,50,125,2027
102,ctx-rh-superiorfrontal,20,220,160,2028
103,ctx-rh-superiorparietal,20,180,140,2029
104,ctx-rh-superiortemporal,140,220,220,2030
105,ctx-rh-supramarginal,80,160,20,2031
106,ctx-rh-frontalpole,100,0,100,2032
107,ctx-rh-temporalpole,70,70,70,2033
108,ctx-rh-transversetemporal,150,150,200,2034
109,ctx-rh-insula,255,192,32,2035
