region,n,mean_total_predictive_entropy,mean_total_entropy_ci_low,mean_total_entropy_ci_high,mean_member_entropy,mean_member_entropy_ci_low,mean_member_entropy_ci_high,mean_mutual_information,mean_mutual_information_ci_low,mean_mutual_information_ci_high,mutual_information_share_of_total,mutual_information_share_ci_low,mutual_information_share_ci_high,maximum_subject_decomposition_error,total_entropy_error_spearman_rho,total_entropy_error_rho_ci_low_approx,total_entropy_error_rho_ci_high_approx,mean_member_entropy_error_spearman_rho,mean_member_entropy_error_rho_ci_low_approx,mean_member_entropy_error_rho_ci_high_approx,mutual_information_error_spearman_rho,mutual_information_error_rho_ci_low_approx,mutual_information_error_rho_ci_high_approx,mean_bootstrap_replicates,correlation_ci_method
L-Hippocampus,532,0.5216555340509665,0.5100980534785448,0.5335239817339339,0.2349050854213704,0.2308137487164957,0.2390990279257801,0.2867504487976544,0.2779101119635809,0.2957722455931869,0.549693102210315,0.5432753980255965,0.5561353688422548,1.788139343261719e-07,0.492915119228733,0.4257448652204086,0.554682525681771,0.5186718664884937,0.4536648766203939,0.5781883220556912,0.3908416380729864,0.3163421139312595,0.4605497891304016,10000,Fisher-z approximation
R-Hippocampus,532,0.4952536702604222,0.4836760155044328,0.5072716285229513,0.2202799945957678,0.2159164422667844,0.2248055662749741,0.2749736766029793,0.2661981416214957,0.2841038686363377,0.555217847165854,0.5481211917233656,0.5621589748299707,1.1920928955078125e-07,0.533888632404951,0.4702198577548931,0.5920289837447171,0.5729980658071866,0.5129752748262635,0.6274449635912024,0.4003062637992253,0.3264036605225214,0.4693445740651715,10000,Fisher-z approximation
L-Amygdala,532,0.4656085528825459,0.4549026220014557,0.4770239056298103,0.1977221686813168,0.1937711127028849,0.2019444266369188,0.267886384677394,0.2592367995313291,0.2769378589515231,0.5753467865204162,0.5673944592046417,0.5832098348566148,1.043081283569336e-07,0.1089077729995688,0.0241209399029823,0.1921390497012567,0.1346578307508054,0.0502225917688174,0.2171818400435003,0.0643765390948484,-0.0207471541922705,0.1485735975914927,10000,Fisher-z approximation
R-Amygdala,532,0.4505744193001349,0.439167266839737,0.4621522116803921,0.1875703366739409,0.1831618659849509,0.1922369568930813,0.2630040842647615,0.2538998441998251,0.2721969393509111,0.5837084241783603,0.5752504954773522,0.5919271568164808,1.4901161193847656e-07,0.1616010197848307,0.0776577090199835,0.2432692050093758,0.1828626759536987,0.0993976799706398,0.2637724361516674,0.1160353127076944,0.0313342481750785,0.1990816864030675,10000,Fisher-z approximation
L-Thalamus,532,0.3928976799536468,0.380468537349646,0.4058671873237909,0.1376883791465508,0.134835335892394,0.1408194098425539,0.2552092999528001,0.2447960411951197,0.2658960387968507,0.6495566478858036,0.6420414834177062,0.6566489949081117,8.940696727410825e-08,0.4925666792031754,0.4253680351638473,0.5543638594386989,0.6174250457447081,0.5619079815795279,0.667404853752604,0.4343431638529657,0.3627261603555982,0.5008597798724629,10000,Fisher-z approximation
R-Thalamus,532,0.3950667021642054,0.3829061232318163,0.4076608480479484,0.1374129924671094,0.1344487590351163,0.1407388633309646,0.2576537103203118,0.2472302016621819,0.2682607912756082,0.6521777434262751,0.6441058796137369,0.6596878270684512,8.940696738513054e-08,0.4866297685758732,0.4189509784613788,0.548931464814666,0.57795174631269,0.5184120966065237,0.6319148074647654,0.4307389320073285,0.358869573206154,0.4975309036720212,10000,Fisher-z approximation
L-Caudate,532,0.5429066998842067,0.5290602593003472,0.5568616354494895,0.1501511745014809,0.146534749334748,0.1539219146384332,0.3927555245144251,0.3808939991266767,0.4047680628475474,0.7234309773635019,0.717187127128045,0.7295398980736718,1.4901161193847656e-07,-0.01905475473504,-0.1038966092442557,0.0660624074762336,0.0322202564998349,-0.0529348859202986,0.1169101849694334,-0.0508576293391165,-0.1352828964483457,0.0343008185061978,10000,Fisher-z approximation
R-Caudate,532,0.5507360842723147,0.5370477591067049,0.5641936771606648,0.1550976488795271,0.1514915931210118,0.1588242482796619,0.3956384363171077,0.3838215923055838,0.4074551093773706,0.7183811767842725,0.711988760134957,0.7243603492501803,1.341104506336066e-07,0.0474885079826037,-0.0376737322523658,0.1319659120839787,0.0777034574286106,-0.0073552796595377,0.161645843626711,0.0002541207855414,-0.0847578614058654,0.0852624300547076,10000,Fisher-z approximation
L-Putamen,532,0.5586653556254574,0.5453533725771017,0.5718989358346601,0.1858178553892705,0.1814638153905455,0.1902769257440547,0.3728474983315271,0.3616923388198746,0.3838820098402132,0.6673896896901782,0.6604226234824645,0.6741828995792982,1.4901161193847656e-07,0.4329998575796335,0.3612885138053127,0.4996193293354462,0.4183103684377434,0.345589600359359,0.4860367477999165,0.323129709016591,0.2448452878268273,0.3972282753812687,10000,Fisher-z approximation
R-Putamen,532,0.553064276177184,0.5396422863412732,0.5667637891073088,0.1883731821509904,0.1831240129229941,0.1938113869833094,0.3646910922615823,0.3538844316473049,0.3757055471339648,0.6594009195140043,0.6514791005710978,0.6670844110584503,1.1920928955078125e-07,0.4512466873442044,0.3808459977647498,0.516445697964733,0.3617692662032473,0.2855406492870375,0.4334490978170332,0.3312768802169116,0.2534030395043002,0.4048847096364131,10000,Fisher-z approximation
L-Pallidum,532,0.5152353954998622,0.5016935267709756,0.5289149806477634,0.1483069147242415,0.1451204100966845,0.1516776101922798,0.3669284805515431,0.3547709981949398,0.3792529710326904,0.7121569747659955,0.7052265323127297,0.7189582568227838,1.788139343261719e-07,0.2385818220103771,0.1567508727120841,0.3171593856189613,0.4918568789767967,0.4246004742421881,0.5537146547364031,0.1386477244299435,0.0542773108203912,0.22105244887627,10000,Fisher-z approximation
R-Pallidum,532,0.4899869045816866,0.4765789979746691,0.5034834216684944,0.1443643151201251,0.1404944305206628,0.1486224861875092,0.3456225890834304,0.3340889151743788,0.3573463334747471,0.7053710739034886,0.6975762363335929,0.7129120191988367,1.4901161193847656e-07,0.2587924667972879,0.1776915268490815,0.3364017832121052,0.3997327081173134,0.3257934544128722,0.4688120002816444,0.1724540723082031,0.0887449529106009,0.2537442448707483,10000,Fisher-z approximation
