score,score_column,target_coverage,actual_coverage,retained_subjects,total_subjects,retained_mean_dice,retained_mean_dice_ci_low,retained_mean_dice_ci_high,selective_risk_one_minus_dice,selective_risk_ci_low,selective_risk_ci_high,dice_gain_vs_full_coverage
Predictive entropy,predtgt_entropy_mean,1.0,1.0,532,532,0.5824605719471562,0.5675607597624766,0.5970997745200488,0.41753942805284383,0.40290022547995125,0.43243924023752345,0.0
Predictive entropy,predtgt_entropy_mean,0.95,0.9511278195488722,506,532,0.5904283500222075,0.5755235033036405,0.6050991816097359,0.4095716499777925,0.39490081839026414,0.42447649669635945,0.007967778075051335
Predictive entropy,predtgt_entropy_mean,0.9,0.900375939849624,479,532,0.5949668474352445,0.5805077223302709,0.6107454783254967,0.40503315256475547,0.38925452167450325,0.4194922776697291,0.012506275488088359
Predictive entropy,predtgt_entropy_mean,0.85,0.8515037593984962,453,532,0.5987050487736006,0.5829025946168952,0.6140672432677726,0.40129495122639935,0.38593275673222743,0.4170974053831048,0.016244476826444476
Predictive entropy,predtgt_entropy_mean,0.8,0.8007518796992481,426,532,0.5991494380785036,0.5831855418447957,0.6156088709331833,0.4008505619214964,0.38439112906681666,0.41681445815520435,0.016688866131347457
Predictive entropy,predtgt_entropy_mean,0.75,0.75,399,532,0.6015273418836107,0.5860086561074499,0.6192895466778578,0.3984726581163893,0.3807104533221422,0.41399134389255005,0.01906676993645451
Predictive entropy,predtgt_entropy_mean,0.7,0.7011278195488722,373,532,0.6082174089396815,0.5912499816340351,0.6248304117317302,0.39178259106031854,0.3751695882682699,0.4087500183659649,0.02575683699252529
Predictive entropy,predtgt_entropy_mean,0.65,0.650375939849624,346,532,0.6110332086850692,0.5934098678631954,0.627849116926467,0.38896679131493084,0.372150883073533,0.4065901321368046,0.028572636737912993
Predictive entropy,predtgt_entropy_mean,0.6,0.6015037593984962,320,532,0.6150951359637682,0.5962467967900292,0.6325716493452214,0.3849048640362318,0.36742835065477863,0.40375320320997077,0.03263456401661202
Predictive entropy,predtgt_entropy_mean,0.55,0.5507518796992481,293,532,0.6186958338517478,0.599268822325481,0.6362145846266017,0.38130416614825224,0.3637854153733982,0.40073117767451905,0.03623526190459159
Predictive entropy,predtgt_entropy_mean,0.5,0.5,266,532,0.6203263518015959,0.5997523813223448,0.6388464095894469,0.3796736481984041,0.36115359041055306,0.4002476186776553,0.03786577985443973
Maximum-softmax uncertainty,predtgt_msp_unc_mean,1.0,1.0,532,532,0.5824605719471562,0.5675607597624769,0.5970997745200489,0.41753942805284383,0.40290022547995114,0.4324392402375231,0.0
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.95,0.9511278195488722,506,532,0.5909874306340007,0.5762795250132229,0.6058029299212743,0.4090125693659993,0.3941970700787258,0.4237204749867771,0.008526858686844552
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.9,0.900375939849624,479,532,0.5949238778580778,0.5802182752493348,0.6104252942169387,0.40507612214192223,0.38957470578306136,0.4197817247506653,0.012463305910921596
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.85,0.8515037593984962,453,532,0.5978785138731887,0.5828581036028838,0.6141059338512187,0.4021214861268113,0.3858940661487813,0.41714189639711613,0.015417941926032519
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.8,0.8007518796992481,426,532,0.5990544198040645,0.583158035592612,0.615563604609713,0.4009455801959355,0.38443639539028696,0.41684196440738797,0.016593847856908317
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.75,0.75,399,532,0.6043403739780585,0.5870311244392531,0.6206327220958895,0.3956596260219415,0.3793672779041105,0.41296887556074685,0.02187980203090234
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.7,0.7011278195488722,373,532,0.6087248900024044,0.591486636213685,0.6251782149644185,0.3912751099975956,0.37482178503558145,0.4085133637863149,0.026264318055248204
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.65,0.650375939849624,346,532,0.610781942810414,0.5941096621628594,0.6285088812631899,0.389218057189586,0.3714911187368101,0.4058903378371406,0.02832137086325781
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.6,0.6015037593984962,320,532,0.6148148159605877,0.5963859998746739,0.6317983556381062,0.38518518403941227,0.3682016443618938,0.40361400012532606,0.032354244013431566
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.55,0.5507518796992481,293,532,0.6173887528865726,0.5983377044640457,0.6357525407705537,0.3826112471134274,0.3642474592294464,0.4016622955359544,0.03492818093941641
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.5,0.5,266,532,0.6226751296160158,0.6021700609767737,0.6411333531611281,0.3773248703839842,0.358866646838872,0.3978299390232262,0.04021455766885962
