target_coverage,actual_coverage,retained_subjects,total_subjects,mean_dice_difference_entropy_minus_msp,mean_dice_difference_ci_low,mean_dice_difference_ci_high,risk_difference_entropy_minus_msp,risk_difference_ci_low,risk_difference_ci_high
1.0,1.0,532,532,0.0,-3.3306690738754696e-16,3.3306690738754696e-16,-0.0,-3.3306690738754696e-16,3.3306690738754696e-16
0.95,0.9511278195488722,506,532,-0.0005590806117932,-0.0027639473043465,0.0005165863184718,0.0005590806117932,-0.0005165863184718,0.0027639473043465
0.9,0.900375939849624,479,532,4.296957716676264e-05,-0.0013798505213943,0.0022716521190895,-4.296957716676264e-05,-0.0022716521190895,0.0013798505213943
0.85,0.8515037593984962,453,532,0.0008265349004119,-0.0024771459537376,0.0023101611152196,-0.0008265349004119,-0.0023101611152196,0.0024771459537376
0.8,0.8007518796992481,426,532,9.501827443914036e-05,-0.0024626037925941,0.0027421893365764,-9.501827443914036e-05,-0.0027421893365764,0.0024626037925941
0.75,0.75,399,532,-0.0028130320944478,-0.0064865715641566,0.0035039234185406,0.0028130320944478,-0.0035039234185406,0.0064865715641566
0.7,0.7011278195488722,373,532,-0.0005074810627229,-0.0046333135579813,0.0035874614156277,0.0005074810627229,-0.0035874614156277,0.0046333135579813
0.65,0.650375939849624,346,532,0.0002512658746551,-0.0048212467094524,0.0023768020220957,-0.0002512658746551,-0.0023768020220957,0.0048212467094524
0.6,0.6015037593984962,320,532,0.0002803200031804,-0.0043888511918637,0.0058782387820712,-0.0002803200031804,-0.0058782387820712,0.0043888511918637
0.55,0.5507518796992481,293,532,0.0013070809651751,-0.0053072793006587,0.0068670856168506,-0.0013070809651751,-0.0068670856168506,0.0053072793006587
0.5,0.5,266,532,-0.0023487778144198,-0.0076153217807685,0.0036453234291008,0.0023487778144198,-0.0036453234291008,0.0076153217807685
