region,n,mean_dice,median_dice,mean_predictive_entropy,median_predictive_entropy,spearman_rho_entropy_vs_error,rho_ci_low,rho_ci_high,p_unadjusted,p_fdr_15,fdr_significant,group_adjusted_rho,group_adjusted_permutation_p_fdr_15
L-Hippocampus,532,0.5868618818947648,0.6230560316492968,0.5216555340509665,0.4917465150356293,0.492915119228733,0.4214673767889865,0.5597567886583115,6.456524709556518e-34,1.8215116282765108e-33,True,0.4947760146323864,6.817840926135512e-05
R-Hippocampus,532,0.600242614954131,0.6389182220455083,0.4952536702604222,0.4696720391511917,0.533888632404951,0.4652329990981976,0.5954019597175105,1.5676756078181498e-40,5.878783529318063e-40,True,0.5333492826127247,6.817840926135512e-05
L-Amygdala,532,0.5868537780575634,0.635320043460025,0.4656085528825459,0.4475955069065094,0.10890777299956889,0.0208833702578749,0.193423668190335,0.0119525142710279,0.0137913626204168,True,0.1110912706509546,0.0127493625318734
R-Amygdala,532,0.6039387769385468,0.651911301417156,0.4505744193001349,0.4249961227178573,0.16160101978483074,0.0749265463230074,0.247897961143724,0.0001816832108988,0.0002271040136236,True,0.1587034203333781,0.0004374781260936
L-Thalamus,532,0.6895860410705401,0.7442795578510182,0.39289767995364683,0.3624560534954071,0.49256667920317543,0.4220562607236884,0.5562970517095436,7.2860465131060445e-34,1.8215116282765108e-33,True,0.4937300062555203,6.817840926135512e-05
R-Thalamus,532,0.687305428657915,0.7392772086854245,0.3950667021642054,0.36919577419757843,0.4866297685758732,0.4166495697909439,0.5501493462788948,5.5935239842948274e-33,1.1986122823488916e-32,True,0.4887608233652351,6.817840926135512e-05
L-Caudate,532,0.4387396334321776,0.4622247902737606,0.5429066998842067,0.5327555537223816,-0.019054754735040036,-0.1082141717487584,0.0705929228391393,0.6610192761799105,0.6610192761799105,False,-0.0179819500953714,0.672516374181291
R-Caudate,532,0.4453934934834788,0.4748281935395684,0.5507360842723147,0.5433197021484375,0.04748850798260377,-0.0415560046942212,0.1332542269084078,0.2742318548311349,0.2938198444619302,False,0.0492681430036322,0.2750755319376888
L-Putamen,532,0.5062353057793545,0.5666866808910618,0.5586653556254574,0.5431868731975555,0.43299985757963355,0.3601949396623591,0.500982651212949,1.0102045527615792e-25,1.683674254602632e-25,True,0.4330923247277287,6.817840926135512e-05
R-Putamen,532,0.5081096232272707,0.5465359285445894,0.553064276177184,0.5289556384086609,0.4512466873442044,0.3790903528881797,0.5173218841688463,4.768941161901277e-28,8.941764678564895e-28,True,0.4513029668949356,6.817840926135512e-05
L-Pallidum,532,0.5050878338674107,0.5509970439611481,0.5152353954998622,0.49759720265865326,0.23858182201037714,0.156574882959622,0.3167429843475488,2.5383746439260112e-08,3.4614199689900145e-08,True,0.2417930819052716,6.817840926135512e-05
R-Pallidum,532,0.523850221791168,0.5726643535102938,0.4899869045816866,0.4686795622110367,0.2587924667972879,0.1774256647206438,0.3356650695713908,1.3735131547469955e-09,2.060269732120493e-09,True,0.2575329713941367,6.817840926135512e-05
L-Cerebral-WM,532,0.6365828211437339,0.6683175841064061,0.6269980289770248,0.6083371043205261,0.6679019072787704,0.6090861643233547,0.7168715641369495,5.304589061972467e-70,3.97844179647935e-69,True,0.6720720048236987,6.817840926135512e-05
R-Cerebral-WM,532,0.6441443766444958,0.6743391562854901,0.6145994636909407,0.5918725728988647,0.6758920387431517,0.6210235639822957,0.7245114803908312,2.929037421361906e-72,4.393556132042859e-71,True,0.6795024310149749,6.817840926135512e-05
Brain-Stem,532,0.7739767482647867,0.8087687231340907,0.2932740438141321,0.27709880471229553,0.5704419091421116,0.5055944350365073,0.6263142292299299,3.0082316402663844e-47,1.5041158201331922e-46,True,0.5706280394058273,6.817840926135512e-05
