analysis,region,n,rho,ci_lo,ci_hi,p_raw,published_rho,seed,n_boot,q_bh,delta_vs_published
"A. Patients only (n=432), unadjusted",L-Hippocampus,432,0.459377550819924,0.37598014247000916,0.5356240608051617,6.128809252310054e-24,0.493,20260818,10000,1.3133162683521544e-23,-0.03362244918007601
"A. Patients only (n=432), unadjusted",R-Hippocampus,432,0.5495827297695235,0.4746514315206939,0.6186690866839125,1.8451626696730372e-35,0.534,20260818,10000,6.919360011273889e-35,0.015582729769523462
"A. Patients only (n=432), unadjusted",L-Amygdala,432,0.05289751296639735,-0.04126931222620053,0.14977157389924012,0.2726252973022575,0.109,20260818,10000,0.29842347031388716,-0.05610248703360265
"A. Patients only (n=432), unadjusted",R-Amygdala,432,0.15836607009727846,0.06221241572810404,0.25156056765363777,0.0009568822678001337,0.162,20260818,10000,0.001196102834750167,-0.0036339299027215444
"A. Patients only (n=432), unadjusted",L-Thalamus,432,0.47620098034837915,0.3965500681696101,0.5475375480738798,7.771174108504371e-26,0.493,20260818,10000,1.9427935271260928e-25,-0.01679901965162084
"A. Patients only (n=432), unadjusted",R-Thalamus,432,0.4944389512604717,0.4169787225431305,0.5625948614637762,5.151347841673101e-28,0.487,20260818,10000,1.5454043525019303e-27,0.007438951260471727
"A. Patients only (n=432), unadjusted",L-Caudate,432,-0.05225197849865028,-0.14922569048812567,0.044119777014975055,0.27852857229296135,-0.019,20260818,10000,0.29842347031388716,-0.033251978498650275
"A. Patients only (n=432), unadjusted",R-Caudate,432,0.034070228261919806,-0.0630524040136117,0.13113268690411273,0.48000798007284573,0.047,20260818,10000,0.48000798007284573,-0.012929771738080194
"A. Patients only (n=432), unadjusted",L-Putamen,432,0.39262183009349033,0.3104347909160255,0.47009945218203564,2.256773808844635e-17,0.433,20260818,10000,3.7612896814077245e-17,-0.040378169906509664
"A. Patients only (n=432), unadjusted",R-Putamen,432,0.41091638241230194,0.3276532055251031,0.48798523735968635,4.979685789686682e-19,0.451,20260818,10000,9.33691085566253e-19,-0.04008361758769807
"A. Patients only (n=432), unadjusted",L-Pallidum,432,0.170884378367051,0.07748117036352652,0.2610311672763276,0.0003600588918602507,0.239,20260818,10000,0.000490989397991251,-0.06811562163294899
"A. Patients only (n=432), unadjusted",R-Pallidum,432,0.2644729621186511,0.17404869584959978,0.3534435992739197,2.3953053839368186e-08,0.259,20260818,10000,3.5929580759052274e-08,0.005472962118651115
"A. Patients only (n=432), unadjusted",L-Cerebral-WM,432,0.6613118425917491,0.5984312871511233,0.7164608308810257,1.1675220664063524e-55,0.668,20260818,10000,8.756415498047642e-55,-0.006688157408250905
"A. Patients only (n=432), unadjusted",R-Cerebral-WM,432,0.6628291618217834,0.5994248412538495,0.7170886714241321,5.398464590830774e-56,0.676,20260818,10000,8.097696886246162e-55,-0.013170838178216626
"A. Patients only (n=432), unadjusted",Brain-Stem,432,0.5641292873868708,0.4932961944109704,0.6288261327040447,1.1533718077359708e-37,0.57,20260818,10000,5.7668590386798536e-37,-0.005870712613129103
"B1. Volume-adjusted, full cohort (n=532)",L-Hippocampus,532,0.48694940502882084,0.4140441776654839,0.5552888681007111,5.749693804055514e-33,0.493,20260819,10000,1.3772774775893482e-32,-0.006050594971179157
"B1. Volume-adjusted, full cohort (n=532)",R-Hippocampus,532,0.532066572428175,0.46245761029100835,0.5951229315267456,3.8160632034367745e-40,0.534,20260819,10000,1.4310237012887904e-39,-0.0019334275718250193
"B1. Volume-adjusted, full cohort (n=532)",L-Amygdala,532,0.10927515772001788,0.02362597510383014,0.19401785914089595,0.0117458017176516,0.109,20260819,10000,0.013552848135751845,0.00027515772001787675
"B1. Volume-adjusted, full cohort (n=532)",R-Amygdala,532,0.16313126790514265,0.07513204604316594,0.25020236986292743,0.0001596441911525906,0.162,20260819,10000,0.00019955523894073823,0.0011312679051426466
"B1. Volume-adjusted, full cohort (n=532)",L-Thalamus,532,0.49353902424359425,0.425088001399015,0.5573081239296677,5.982452107880181e-34,0.493,20260819,10000,1.7947356323640544e-33,0.0005390242435942549
"B1. Volume-adjusted, full cohort (n=532)",R-Thalamus,532,0.4866212552245302,0.417881280348093,0.5509634376927136,6.427294895416959e-33,0.487,20260819,10000,1.3772774775893482e-32,-0.0003787447754697859
"B1. Volume-adjusted, full cohort (n=532)",L-Caudate,532,-0.029819852329375705,-0.12008661380033876,0.059792237861724565,0.49291173810116834,-0.019,20260819,10000,0.49291173810116834,-0.010819852329375705
"B1. Volume-adjusted, full cohort (n=532)",R-Caudate,532,0.0377146718034463,-0.05252972368093535,0.12740008286250828,0.3857578237225446,0.047,20260819,10000,0.4133119539884406,-0.0092853281965537
"B1. Volume-adjusted, full cohort (n=532)",L-Putamen,532,0.42065158983654266,0.34483763088798736,0.49118898596069505,3.490658590219799e-24,0.433,20260819,10000,5.8177643170329985e-24,-0.012348410163457335
"B1. Volume-adjusted, full cohort (n=532)",R-Putamen,532,0.44468254648645816,0.3709782476715268,0.5125110240602778,3.799148669949324e-27,0.451,20260819,10000,7.123403756154982e-27,-0.006317453513541849
"B1. Volume-adjusted, full cohort (n=532)",L-Pallidum,532,0.2375117107223048,0.15486261417819458,0.3171459275608745,3.0307322762234816e-08,0.239,20260819,10000,4.1328167403047474e-08,-0.001488289277695204
"B1. Volume-adjusted, full cohort (n=532)",R-Pallidum,532,0.2608403875396315,0.1774786133169454,0.338350120154587,1.0445570697208428e-09,0.259,20260819,10000,1.5668356045812643e-09,0.001840387539631505
