region,n,predictor_family,term,contrast,beta,se_conventional,ci95_low_conventional,ci95_high_conventional,p_conventional,se_hc3,ci95_low_hc3,ci95_high_hc3,p_hc3,p_fdr_conventional_165,p_fdr_hc3_165
Brain-Stem,432,Pathology,Pathology_DNT,DNT vs HS,-0.0488530346150989,0.0148590647043322,-0.0780612440873516,-0.0196448251428463,0.0010956479991037,0.0117498529812153,-0.0718823232819217,-0.0258237459482762,3.21387486028721e-05,0.1114615461465133,0.0053028935194738
L-Putamen,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.0268007849640406,0.008415441320864,-0.0433428741057335,-0.0102586958223476,0.0015579970942036,0.0089871770132328,-0.0444153282326632,-0.0091862416954179,0.0028626553017733,0.1114615461465133,0.0944676249585204
R-Cerebral-WM,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.019038943864021,0.0061936351823597,-0.0312136666612327,-0.0068642210668093,0.0022515367179356,0.0114855821389763,-0.0415502711978912,0.0034723834698491,0.0973904413019773,0.1114615461465133,0.5227599575085342
L-Thalamus,432,Pathology,Pathology_CAV,CAV vs HS,-0.0939245025766987,0.0311228318302952,-0.1551021210578888,-0.0327468840955088,0.0027020980884003,0.0246712291463657,-0.1422792231579104,-0.0455697819954871,0.0001406366324156,0.1114615461465133,0.0116025221742945
L-Thalamus,432,Pathology,Pathology_DNT,DNT vs HS,-0.0670051518787022,0.0252496917640158,-0.1166380393334668,-0.0173722644239377,0.0082664742196172,0.0187297513605221,-0.1037147899847157,-0.0302955137726888,0.0003469340198284,0.2727936492473705,0.0190813710905656
R-Putamen,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.0231007054774986,0.0089542900514009,-0.0407020003571401,-0.0054994105978571,0.0102264807456088,0.0102753363548594,-0.0432399946620582,-0.002961416292939,0.0245653360735166,0.2806993498017732,0.3529427569495761
R-Caudate,432,Sex,Male,Male vs female,-0.0421196034140309,0.0166746829851198,-0.0748967427026691,-0.0093424641253927,0.0119084572643176,0.0172619882655457,-0.0759524787160536,-0.0082867281120082,0.0146864327663161,0.2806993498017732,0.2692512673824625
R-Thalamus,432,Pathology,Pathology_DNT,DNT vs HS,-0.0574512594286386,0.0240660674351124,-0.1047575167742424,-0.0101450020830347,0.0174215833055606,0.0183529164778509,-0.0934223147364981,-0.021480204120779,0.0017459142657905,0.3425590288391683,0.0720189634638605
R-Putamen,432,Pathology,Pathology_CAV,CAV vs HS,-0.0763492407471208,0.0323373900006157,-0.1399142954607281,-0.0127841860335135,0.0186850379366819,0.0270241924289695,-0.1293156846191811,-0.0233827968750605,0.0047248425819757,0.3425590288391683,0.1113712894322849
L-Cerebral-WM,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.0136539756703004,0.0059297048290788,-0.0253098950839809,-0.0019980562566198,0.0217919006219274,0.0109941994758307,-0.0352022106817778,0.007894259341177,0.214264084592468,0.3456647322599294,0.6724539864923721
