region,n,term,contrast,beta,p_conventional,p_hc3,included_in_165_fdr_family
Brain-Stem,432,Group_1,Group 1 vs Group 0,-0.0031282542438282,0.825422591122697,0.8065611138927625,False
Brain-Stem,432,Group_2,Group 2 vs Group 0,-0.0004685951991481,0.97281015863512,0.9731252800373668,False
Brain-Stem,432,Group_3,Group 3 vs Group 0,-0.0045709029914024,0.742533706212013,0.6894531777451851,False
Brain-Stem,432,Group_4,Group 4 vs Group 0,0.0036333417978652,0.7932823377144733,0.7836262115932817,False
L-Amygdala,432,Group_1,Group 1 vs Group 0,0.0088221441603555,0.6751397244795225,0.6784529280439084,False
L-Amygdala,432,Group_2,Group 2 vs Group 0,-0.0056555317209612,0.7833243461776659,0.8039178131527104,False
L-Amygdala,432,Group_3,Group 3 vs Group 0,0.0267046880183901,0.2009472830984459,0.2309838991789552,False
L-Amygdala,432,Group_4,Group 4 vs Group 0,0.0158114062905932,0.4472723431284596,0.445857231612221,False
L-Caudate,432,Group_1,Group 1 vs Group 0,0.0124919466432683,0.6343068050725101,0.6144431160373525,False
L-Caudate,432,Group_2,Group 2 vs Group 0,0.0013652502727046,0.9575417019101714,0.9606162130699392,False
L-Caudate,432,Group_3,Group 3 vs Group 0,-9.845910340911672e-05,0.996974947721996,0.9968042794515258,False
L-Caudate,432,Group_4,Group 4 vs Group 0,0.0173893613762074,0.5035628323387322,0.5141959849022395,False
L-Cerebral-WM,432,Group_1,Group 1 vs Group 0,0.0099312050322849,0.548731549323829,0.5700455023204096,False
L-Cerebral-WM,432,Group_2,Group 2 vs Group 0,-0.0088910252412046,0.5822678502862663,0.5661907821789156,False
L-Cerebral-WM,432,Group_3,Group 3 vs Group 0,0.0055290423541125,0.7356109382017443,0.715731154208326,False
L-Cerebral-WM,432,Group_4,Group 4 vs Group 0,0.0212652933480395,0.1930751571151241,0.2014005085447395,False
L-Hippocampus,432,Group_1,Group 1 vs Group 0,0.0114228078344033,0.6042883954716529,0.5965362343911371,False
L-Hippocampus,432,Group_2,Group 2 vs Group 0,0.0023960640723696,0.9113596051935864,0.912214807023019,False
L-Hippocampus,432,Group_3,Group 3 vs Group 0,0.0222478381237636,0.3077189335234969,0.3046392210255173,False
L-Hippocampus,432,Group_4,Group 4 vs Group 0,0.03720441066419,0.0887737563556452,0.1200939770989123,False
L-Pallidum,432,Group_1,Group 1 vs Group 0,0.0329417723586977,0.1979214424779687,0.1749039716656064,False
L-Pallidum,432,Group_2,Group 2 vs Group 0,0.0058711883197773,0.8140649434917304,0.8313289862446094,False
L-Pallidum,432,Group_3,Group 3 vs Group 0,0.0323116892776988,0.2018834144023586,0.1913041760994694,False
L-Pallidum,432,Group_4,Group 4 vs Group 0,0.0324830377719214,0.1990542579872015,0.2309837199167507,False
L-Putamen,432,Group_1,Group 1 vs Group 0,0.0286360840072523,0.2312346917662457,0.2226083783439157,False
L-Putamen,432,Group_2,Group 2 vs Group 0,0.0144098995100725,0.537642110743521,0.5557774720424631,False
L-Putamen,432,Group_3,Group 3 vs Group 0,0.0326057923430274,0.1681371779421943,0.1617434660119099,False
L-Putamen,432,Group_4,Group 4 vs Group 0,0.0216459718847334,0.3615246550026691,0.3668211043001881,False
L-Thalamus,432,Group_1,Group 1 vs Group 0,-0.0020183189160288,0.9323141993828518,0.923697803888448,False
L-Thalamus,432,Group_2,Group 2 vs Group 0,-0.0094249500141089,0.6843019135615522,0.6937797472490316,False
L-Thalamus,432,Group_3,Group 3 vs Group 0,0.0001205471414605,0.9959019504450164,0.995625606042378,False
L-Thalamus,432,Group_4,Group 4 vs Group 0,0.0264192645504591,0.2599911795986083,0.2989191909489658,False
R-Amygdala,432,Group_1,Group 1 vs Group 0,0.0246141270862641,0.2660119097634044,0.277751179082237,False
R-Amygdala,432,Group_2,Group 2 vs Group 0,-0.0092991298210772,0.666779490435848,0.6865563325798187,False
R-Amygdala,432,Group_3,Group 3 vs Group 0,0.0199431180560368,0.3620830113441593,0.3151496451950012,False
R-Amygdala,432,Group_4,Group 4 vs Group 0,0.015419744159373,0.4819277266805855,0.486967882003356,False
R-Caudate,432,Group_1,Group 1 vs Group 0,0.0299901641945641,0.2307547522480725,0.2485693603718142,False
R-Caudate,432,Group_2,Group 2 vs Group 0,0.0048397280183813,0.8428429371091318,0.8485853229022744,False
R-Caudate,432,Group_3,Group 3 vs Group 0,0.0620992609485806,0.0123256494000689,0.014020936911044,False
R-Caudate,432,Group_4,Group 4 vs Group 0,0.0183460147007076,0.4582132264785215,0.4524827993204372,False
R-Cerebral-WM,432,Group_1,Group 1 vs Group 0,0.0151781968399569,0.378218332834177,0.3814710799292385,False
R-Cerebral-WM,432,Group_2,Group 2 vs Group 0,-0.0056211629040796,0.7375070685037177,0.7243192563608346,False
R-Cerebral-WM,432,Group_3,Group 3 vs Group 0,0.004851419496442,0.7751845343517116,0.7569076909038746,False
R-Cerebral-WM,432,Group_4,Group 4 vs Group 0,0.0295190523930742,0.0818412350237486,0.0780842518750476,False
R-Hippocampus,432,Group_1,Group 1 vs Group 0,0.0122042845656899,0.5846841281476545,0.5612116325121674,False
R-Hippocampus,432,Group_2,Group 2 vs Group 0,-0.0086639385901011,0.6910968303532147,0.693075067776413,False
R-Hippocampus,432,Group_3,Group 3 vs Group 0,0.0133274971128478,0.5461573044746142,0.5152003749615023,False
R-Hippocampus,432,Group_4,Group 4 vs Group 0,0.0213609181250438,0.3329185694589937,0.3615681968979926,False
R-Pallidum,432,Group_1,Group 1 vs Group 0,0.0303804724596724,0.2249650088261215,0.216449084437396,False
R-Pallidum,432,Group_2,Group 2 vs Group 0,0.0036351162357769,0.8816966701542505,0.8926305165617299,False
R-Pallidum,432,Group_3,Group 3 vs Group 0,0.0114182220494207,0.6444240993809646,0.6294923202432532,False
R-Pallidum,432,Group_4,Group 4 vs Group 0,0.0116265377394007,0.6379199026645462,0.6281526687918821,False
R-Putamen,432,Group_1,Group 1 vs Group 0,0.0404465993123284,0.1039370984606742,0.107178961909859,False
R-Putamen,432,Group_2,Group 2 vs Group 0,0.0218681271516245,0.3687487777219729,0.3990891239705779,False
R-Putamen,432,Group_3,Group 3 vs Group 0,0.021411608499414,0.383501889289608,0.3562827133439916,False
R-Putamen,432,Group_4,Group 4 vs Group 0,0.0220960116804538,0.3692334000232368,0.370408972799675,False
R-Thalamus,432,Group_1,Group 1 vs Group 0,0.0044786066864144,0.8435509388545512,0.8192800184811961,False
R-Thalamus,432,Group_2,Group 2 vs Group 0,-0.0120950995874452,0.5848896380240115,0.598294319947752,False
R-Thalamus,432,Group_3,Group 3 vs Group 0,0.0151635535684953,0.4989032466298071,0.4782433870489676,False
R-Thalamus,432,Group_4,Group 4 vs Group 0,0.0287585678295687,0.199331281171692,0.2265791977633068,False
