region,n,r_squared,adjusted_r_squared,model_f_pvalue
Brain-Stem,432,0.0467360268181633,0.0123635277851644,0.1636542563260491
L-Amygdala,432,0.0387230856891263,0.0040616584904169,0.338104052594267
L-Caudate,432,0.039626794032501,0.0049979524711729,0.3140270762209015
L-Cerebral-WM,432,0.0541318104343274,0.0200259862913344,0.0738936365907319
L-Hippocampus,432,0.0550927115372594,0.0210215352705741,0.0661288654013251
L-Pallidum,432,0.0303842896838706,-0.0045778152554127,0.5995756033717002
L-Putamen,432,0.0532482267828392,0.0191105426524127,0.081714380903785
L-Thalamus,432,0.054062321962563,0.0199539922256362,0.0744844598213564
R-Amygdala,432,0.0262573396876402,-0.0088535735447765,0.7353300110982901
R-Caudate,432,0.0567074921994522,0.0226945411970286,0.0546717108096116
R-Cerebral-WM,432,0.0635987914908139,0.0298343248378385,0.023125669725526
R-Hippocampus,432,0.0365604961195564,0.0018210909315596,0.3998998043824281
R-Pallidum,432,0.0256910659418541,-0.00944026581505,0.7529198399707391
R-Putamen,432,0.0388441015692863,0.004187037923948,0.3348177178097979
R-Thalamus,432,0.0495130860492887,0.015240721363566,0.1229863960755297
